Class,Precision,Recall,F1
bassoon,0.839080459770115,0.829545454545455,0.834285714285714
cello,0.624113475177305,0.704,0.661654135338346
double_bass,0.771929824561403,0.781065088757396,0.776470588235294
flute,0.668571428571429,0.769736842105263,0.715596330275229
guitar,0.631578947368421,0.571428571428571,0.6
oboe,0.885714285714286,0.71264367816092,0.789808917197452
trombone,0.852564102564103,0.801204819277108,0.826086956521739
tuba,0.793969849246231,0.814432989690722,0.804071246819339
viola,0.672727272727273,0.587301587301587,0.627118644067797
