Class,Precision,Recall,F1
bassoon,0.819444444444444,0.670454545454545,0.7375
cello,0.733333333333333,0.616,0.669565217391304
double_bass,0.758426966292135,0.798816568047337,0.778097982708934
flute,0.70414201183432,0.782894736842105,0.741433021806854
guitar,0.789473684210526,0.714285714285714,0.75
oboe,0.9,0.724137931034483,0.802547770700637
trombone,0.75,0.813253012048193,0.780346820809249
tuba,0.783653846153846,0.84020618556701,0.810945273631841
viola,0.716535433070866,0.722222222222222,0.719367588932806
