Class,Precision,Recall,F1
bassoon,0.849315068493151,0.704545454545455,0.770186335403727
cello,0.739130434782609,0.544,0.626728110599078
double_bass,0.757225433526012,0.775147928994083,0.766081871345029
flute,0.703030303030303,0.763157894736842,0.73186119873817
guitar,0.8125,0.619047619047619,0.702702702702703
oboe,0.84,0.724137931034483,0.777777777777778
trombone,0.765957446808511,0.867469879518072,0.813559322033898
tuba,0.812206572769953,0.887179487179487,0.848039215686274
viola,0.661654135338346,0.704,0.682170542635659
