Class,Precision,Recall,F1
bassoon,0.62,0.704545454545455,0.659574468085106
cello,0.333333333333333,0.168,0.223404255319149
double_bass,0.536945812807882,0.644970414201183,0.586021505376344
flute,0.517441860465116,0.585526315789474,0.549382716049383
guitar,0.384615384615385,0.714285714285714,0.5
oboe,0.521739130434783,0.689655172413793,0.594059405940594
trombone,0.620915032679739,0.572289156626506,0.595611285266458
tuba,0.64,0.65979381443299,0.649746192893401
viola,0.566265060240964,0.373015873015873,0.449760765550239
