Class,Precision,Recall,F1
bassoon,0.850574712643678,0.840909090909091,0.845714285714286
cello,0.773913043478261,0.712,0.741666666666667
double_bass,0.830409356725146,0.840236686390533,0.835294117647059
flute,0.706185567010309,0.901315789473684,0.791907514450867
guitar,0.866666666666667,0.619047619047619,0.722222222222222
oboe,0.901408450704225,0.735632183908046,0.810126582278481
trombone,0.887573964497041,0.903614457831325,0.895522388059701
tuba,0.894179894179894,0.871134020618557,0.882506527415144
viola,0.794871794871795,0.738095238095238,0.765432098765432
