Class,Precision,Recall,F1
bassoon,0.793650793650794,0.714285714285714,0.75187969924812
cello,0.594594594594595,0.528,0.559322033898305
double_bass,0.765432098765432,0.733727810650888,0.749244712990937
flute,0.652777777777778,0.728682170542636,0.688644688644689
guitar,0.8125,0.619047619047619,0.702702702702703
oboe,0.876923076923077,0.655172413793103,0.75
trombone,0.708333333333333,0.881481481481482,0.785478547854786
tuba,0.769953051643192,0.921348314606742,0.838874680306905
viola,0.684210526315789,0.528455284552846,0.596330275229358
